ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
47,kmeans,"[  0.           7.42716049  23.02974828  36.16818182  60.48095238
  83.0615942  100.28174603 140.        ]","[0.09181818 0.19727273 0.20272727 0.14136364 0.10909091 0.12409091
 0.13363636]",0.5443473741365659,0.4200478687950061,1
48,random-forest,"[  0.          14.5         19.92857143  25.35714286  38.35714286
  67.64285714  79.78571429  97.35714286 140.        ]","[0.17772727 0.05       0.08909091 0.205      0.13954545 0.04909091
 0.12954545 0.16      ]",0.503518621329504,0.3707695754164353,1
49,equal-width,[  0.   17.5  35.   52.5  70.   87.5 105.  122.5 140. ],"[0.20636364 0.25454545 0.13636364 0.07227273 0.10045455 0.11863636
 0.095      0.01636364]",0.564640092411729,0.36872800182440024,1
50,equal-width-data,[  0.   17.5  35.   52.5  70.   87.5 105.  122.5 140. ],"[0.20636364 0.25454545 0.13636364 0.07227273 0.10045455 0.11863636
 0.095      0.01636364]",0.564640092411729,0.36872800182440024,1
51,equal-frequency,[  0.    10.    21.    29.    37.    60.    84.25 102.   140.  ],"[0.12       0.12363636 0.12227273 0.12590909 0.13181818 0.12636364
 0.12318182 0.12681818]",0.46105745808401843,0.3686447480921522,1
52,kbins,[  0.   17.5  35.   52.5  70.   87.5 105.  122.5 140. ],"[0.20636364 0.25454545 0.13636364 0.07227273 0.10045455 0.11863636
 0.095      0.01636364]",0.564640092411729,0.36872800182440024,1
53,kbins-quantile,[  0.    10.    21.    29.    37.    60.    84.25 102.   140.  ],"[0.12       0.12363636 0.12227273 0.12590909 0.13181818 0.12636364
 0.12318182 0.12681818]",0.46105745808401843,0.3686447480921522,1
54,decision-tree,[  0.   19.5  40.5  59.5  70.5  79.5  99.5 120.5 140. ],"[0.22772727 0.33272727 0.06318182 0.05090909 0.03590909 0.14681818
 0.12318182 0.01954545]",0.6226233928629283,0.38974338111326423,1
55,kmeans,"[  0.           7.42716049  23.02974828  35.93039443  56.44444444
  73.50299401  88.62704918 104.05909091 140.        ]","[0.09181818 0.19727273 0.18681818 0.13272727 0.07545455 0.09181818
 0.11272727 0.11136364]",0.49072839258585055,0.38125749858880875,1
56,random-forest,"[  0.       2.5     20.875   31.25    40.5625  70.      79.4375  89.75
 100.125  140.    ]","[0.03318182 0.21045455 0.16909091 0.14772727 0.10909091 0.04090909
 0.07545455 0.08045455 0.13363636]",0.4774360116541212,0.33523297206122105,1
57,equal-width,"[  0.          15.55555556  31.11111111  46.66666667  62.22222222
  77.77777778  93.33333333 108.88888889 124.44444444 140.        ]","[0.18409091 0.22863636 0.16590909 0.06272727 0.06181818 0.11318182
 0.09727273 0.07136364 0.015     ]",0.5021933003043486,0.3192496820844811,1
58,equal-width-data,"[  0.     15.556  31.111  46.667  62.222  77.778  93.333 108.889 124.444
 140.   ]","[0.18409091 0.22863636 0.16590909 0.06272727 0.06181818 0.11318182
 0.09727273 0.07136364 0.015     ]",0.5021933003043486,0.31925023934691943,1
59,equal-frequency,"[  0.      9.     19.     27.     34.     40.     69.     89.    104.667
 140.   ]","[0.105      0.11227273 0.11409091 0.11227273 0.09681818 0.12454545
 0.11090909 0.11272727 0.11136364]",0.4023444485509303,0.3435585871851472,1
60,kbins,"[  0.          15.55555556  31.11111111  46.66666667  62.22222222
  77.77777778  93.33333333 108.88888889 124.44444444 140.        ]","[0.18409091 0.22863636 0.16590909 0.06272727 0.06181818 0.11318182
 0.09727273 0.07136364 0.015     ]",0.5021933003043486,0.3192496820844811,1
61,kbins-quantile,"[  0.           9.          19.          27.          34.
  40.          69.          89.         104.66666667 140.        ]","[0.105      0.11227273 0.11409091 0.11227273 0.09681818 0.12454545
 0.11090909 0.11272727 0.11136364]",0.4023444485509303,0.34355889649444216,1
62,decision-tree,[  0.   19.5  40.5  59.5  67.5  70.5  79.5  99.5 120.5 140. ],"[0.22772727 0.33272727 0.06318182 0.03772727 0.01318182 0.03590909
 0.14681818 0.12318182 0.01954545]",0.6099683460133998,0.3639842050029176,1
63,kmeans,"[  0.           5.6474359   17.49662162  28.14402174  38.03322259
  56.69798658  71.96350365  87.55597015 103.84513274 140.        ]","[0.06727273 0.13909091 0.15954545 0.15590909 0.08681818 0.06954545
 0.09181818 0.11363636 0.11636364]",0.42168956430144666,0.340025106574545,1
64,random-forest,"[  0.           2.5         22.27777778  31.05555556  41.16666667
  64.05555556  72.38888889  84.5         95.94444444 108.72222222
 140.        ]","[0.03318182 0.24318182 0.13636364 0.14954545 0.08590909 0.03318182
 0.06863636 0.08227273 0.08136364 0.08636364]",0.43780387233098483,0.3013179336564549,1
65,equal-width,[  0.  14.  28.  42.  56.  70.  84.  98. 112. 126. 140.],"[0.16363636 0.18681818 0.21181818 0.04227273 0.065      0.07272727
 0.09772727 0.09136364 0.05454545 0.01409091]",0.4551309750898864,0.2768411389688691,1
66,equal-width-data,[  0.  14.  28.  42.  56.  70.  84.  98. 112. 126. 140.],"[0.16363636 0.18681818 0.21181818 0.04227273 0.065      0.07272727
 0.09772727 0.09136364 0.05454545 0.01409091]",0.4551309750898864,0.2768411389688691,1
67,equal-frequency,[  0.   8.  17.  24.  31.  37.  54.  77.  91. 107. 140.],"[0.09181818 0.10363636 0.09363636 0.105      0.09772727 0.10772727
 0.09909091 0.09590909 0.10363636 0.10181818]",0.3484016347647775,0.3159902005028977,1
68,kbins,[  0.  14.  28.  42.  56.  70.  84.  98. 112. 126. 140.],"[0.16363636 0.18681818 0.21181818 0.04227273 0.065      0.07272727
 0.09772727 0.09136364 0.05454545 0.01409091]",0.4551309750898864,0.2768411389688691,1
69,kbins-quantile,[  0.   8.  17.  24.  31.  37.  54.  77.  91. 107. 140.],"[0.09181818 0.10363636 0.09363636 0.105      0.09772727 0.10772727
 0.09909091 0.09590909 0.10363636 0.10181818]",0.3484016347647775,0.3159902005028977,1
70,decision-tree,[  0.   19.5  30.5  40.5  59.5  67.5  70.5  79.5  99.5 120.5 140. ],"[0.22772727 0.16636364 0.16636364 0.06318182 0.03772727 0.01318182
 0.03590909 0.14681818 0.12318182 0.01954545]",0.5076167769349236,0.3212675750281694,1
71,kmeans,"[  0.           4.15151515  13.31578947  24.61182519  36.2955665
  56.44444444  71.96350365  86.48497854 100.26903553 114.30994152
 140.        ]","[0.055      0.10863636 0.13863636 0.18954545 0.11681818 0.06954545
 0.08545455 0.10272727 0.07954545 0.05409091]",0.37933533027244004,0.28152957443877147,1
72,random-forest,[  0.    0.5  16.9  26.3  37.1  55.5  68.5  78.7  89.9  97.1 109.7 140. ],"[0.01227273 0.18318182 0.13590909 0.17818182 0.095      0.06045455
 0.04272727 0.07818182 0.05409091 0.07818182 0.08181818]",0.3926635018223733,0.2661498032481223,1
73,equal-width,"[  0.          12.72727273  25.45454545  38.18181818  50.90909091
  63.63636364  76.36363636  89.09090909 101.81818182 114.54545455
 127.27272727 140.        ]","[0.15181818 0.165      0.205      0.06954545 0.05545455 0.05181818
 0.08727273 0.08727273 0.07272727 0.04272727 0.01136364]",0.40394868834551667,0.23935255091205176,1
74,equal-width-data,"[  0.     12.727  25.455  38.182  50.909  63.636  76.364  89.091 101.818
 114.545 127.273 140.   ]","[0.15181818 0.165      0.205      0.06954545 0.05545455 0.05181818
 0.08727273 0.08727273 0.07272727 0.04272727 0.01136364]",0.40394868834551667,0.23935289868089615,1
75,equal-frequency,[  0.   7.  15.  22.  28.  34.  40.  61.  82.  94. 108. 140.],"[0.08045455 0.09727273 0.07863636 0.09409091 0.09318182 0.09681818
 0.09272727 0.09090909 0.09227273 0.08954545 0.09409091]",0.2996233846710822,0.29401342782049256,1
76,kbins,"[  0.          12.72727273  25.45454545  38.18181818  50.90909091
  63.63636364  76.36363636  89.09090909 101.81818182 114.54545455
 127.27272727 140.        ]","[0.15181818 0.165      0.205      0.06954545 0.05545455 0.05181818
 0.08727273 0.08727273 0.07272727 0.04272727 0.01136364]",0.40394868834551667,0.23935255091205176,1
77,kbins-quantile,[  0.   7.  15.  22.  28.  34.  40.  61.  82.  94. 108. 140.],"[0.08045455 0.09727273 0.07863636 0.09409091 0.09318182 0.09681818
 0.09272727 0.09090909 0.09227273 0.08954545 0.09409091]",0.2996233846710822,0.29401342782049256,1
78,decision-tree,[  0.   19.5  30.5  40.5  59.5  67.5  70.5  79.5  90.5  99.5 120.5 140. ],"[0.22772727 0.16636364 0.16636364 0.06318182 0.03772727 0.01318182
 0.03590909 0.08409091 0.06272727 0.12318182 0.01954545]",0.46277518156091235,0.2870185501241439,1
79,kmeans,"[  0.           4.75757576  13.98130841  22.06849315  29.4516129
  38.03322259  56.69798658  71.64122137  85.8161435   99.09183673
 113.64893617 140.        ]","[0.055      0.10863636 0.11272727 0.10636364 0.13909091 0.08681818
 0.06954545 0.07863636 0.10045455 0.08363636 0.05909091]",0.3153448203548994,0.2693661421361432,1
80,random-forest,"[  0.           1.5         19.95454545  29.40909091  37.86363636
  48.59090909  60.77272727  70.22727273  80.68181818  90.13636364
  98.59090909 113.04545455 140.        ]","[0.02136364 0.20636364 0.155      0.12681818 0.07318182 0.05045455
 0.04136364 0.04227273 0.07772727 0.05227273 0.09409091 0.05909091]",0.35686508330239364,0.25280970771963485,1
81,equal-width,"[  0.          11.66666667  23.33333333  35.          46.66666667
  58.33333333  70.          81.66666667  93.33333333 105.
 116.66666667 128.33333333 140.        ]","[0.14181818 0.14727273 0.17181818 0.11772727 0.04       0.05090909
 0.05454545 0.09227273 0.07227273 0.06545455 0.03454545 0.01136364]",0.3583142334568902,0.20547096292963496,1
82,equal-width-data,"[  0.     11.667  23.333  35.     46.667  58.333  70.     81.667  93.333
 105.    116.667 128.333 140.   ]","[0.14181818 0.14727273 0.17181818 0.11772727 0.04       0.05090909
 0.05454545 0.09227273 0.07227273 0.06545455 0.03454545 0.01136364]",0.3583142334568902,0.20547136985556802,1
83,equal-frequency,"[  0.     7.    14.    21.    27.    32.    37.    49.    69.    84.25
  96.   109.   140.  ]","[0.08045455 0.08318182 0.08       0.08772727 0.08136364 0.07909091
 0.09090909 0.08227273 0.085      0.08227273 0.08136364 0.08636364]",0.25736519918973155,0.2751327867349286,1
84,kbins,"[  0.          11.66666667  23.33333333  35.          46.66666667
  58.33333333  70.          81.66666667  93.33333333 105.
 116.66666667 128.33333333 140.        ]","[0.14181818 0.14727273 0.17181818 0.11772727 0.04       0.05090909
 0.05454545 0.09227273 0.07227273 0.06545455 0.03454545 0.01136364]",0.3583142334568902,0.20547096292963496,1
85,kbins-quantile,"[  0.     7.    14.    21.    27.    32.    37.    49.    69.    84.25
  96.   109.   140.  ]","[0.08045455 0.08318182 0.08       0.08772727 0.08136364 0.07909091
 0.09090909 0.08227273 0.085      0.08227273 0.08136364 0.08636364]",0.25736519918973155,0.2751327867349286,1
86,decision-tree,"[  0.   19.5  30.5  40.5  59.5  67.5  70.5  79.5  88.5  90.5  99.5 120.5
 140. ]","[0.22772727 0.16636364 0.16636364 0.06318182 0.03772727 0.01318182
 0.03590909 0.06545455 0.01863636 0.06272727 0.12318182 0.01954545]",0.4456863822266349,0.2557393356835149,1
87,kmeans,"[  0.           4.75757576  13.98130841  22.56972112  30.44561404
  38.61596958  55.97014925  69.04385965  82.45604396  94.3919598
 106.17482517 116.79661017 140.        ]","[0.055      0.10863636 0.11272727 0.11772727 0.12772727 0.08272727
 0.065      0.06363636 0.08818182 0.07681818 0.05590909 0.04590909]",0.2808987301433148,0.2314609399342974,1
88,random-forest,"[  0.           1.5         12.41666667  21.33333333  29.25
  37.16666667  48.41666667  63.          72.91666667  83.83333333
  91.75        99.66666667 110.75       140.        ]","[0.02136364 0.13045455 0.10454545 0.12636364 0.12681818 0.07318182
 0.05863636 0.04       0.06090909 0.06136364 0.05363636 0.06590909
 0.07681818]",0.26534062944338366,0.225257202220834,1
89,equal-width,"[  0.          10.76923077  21.53846154  32.30769231  43.07692308
  53.84615385  64.61538462  75.38461538  86.15384615  96.92307692
 107.69230769 118.46153846 129.23076923 140.        ]","[0.13       0.12636364 0.17409091 0.14       0.02909091 0.04863636
 0.045      0.07045455 0.07136364 0.07090909 0.06363636 0.02045455
 0.01      ]",0.32224188586311064,0.17434186762349568,1
90,equal-width-data,"[  0.     10.769  21.538  32.308  43.077  53.846  64.615  75.385  86.154
  96.923 107.692 118.462 129.231 140.   ]","[0.13       0.12636364 0.17409091 0.14       0.02909091 0.04863636
 0.045      0.07045455 0.07136364 0.07090909 0.06363636 0.02045455
 0.01      ]",0.32224188586311064,0.17434150976952356,1
91,equal-frequency,[  0.   6.  13.  20.  25.  30.  35.  39.  58.  75.  87.  98. 110. 140.],"[0.06727273 0.08454545 0.07590909 0.07454545 0.08045455 0.07818182
 0.06090909 0.09136364 0.07636364 0.07409091 0.07636364 0.07818182
 0.08181818]",0.21838878992209954,0.2549685420311383,1
92,kbins,"[  0.          10.76923077  21.53846154  32.30769231  43.07692308
  53.84615385  64.61538462  75.38461538  86.15384615  96.92307692
 107.69230769 118.46153846 129.23076923 140.        ]","[0.13       0.12636364 0.17409091 0.14       0.02909091 0.04863636
 0.045      0.07045455 0.07136364 0.07090909 0.06363636 0.02045455
 0.01      ]",0.32224188586311064,0.17434186762349568,1
93,kbins-quantile,[  0.   6.  13.  20.  25.  30.  35.  39.  58.  75.  87.  98. 110. 140.],"[0.06727273 0.08454545 0.07590909 0.07454545 0.08045455 0.07818182
 0.06090909 0.09136364 0.07636364 0.07409091 0.07636364 0.07818182
 0.08181818]",0.21838878992209954,0.2549685420311383,1
94,decision-tree,"[  0.   19.5  21.5  30.5  40.5  59.5  67.5  70.5  79.5  88.5  90.5  99.5
 120.5 140. ]","[0.22772727 0.02863636 0.13772727 0.16636364 0.06318182 0.03772727
 0.01318182 0.03590909 0.06545455 0.01863636 0.06272727 0.12318182
 0.01954545]",0.40898811735969487,0.21619800069536066,1
95,kmeans,"[  0.           3.5990099   11.75877193  21.24719101  29.4516129
  37.49820789  48.97142857  59.46534653  69.92929293  81.10714286
  90.8255814  102.67213115 115.57823129 140.        ]","[0.04272727 0.09909091 0.11454545 0.12636364 0.12681818 0.07318182
 0.04090909 0.04590909 0.05454545 0.07045455 0.085      0.06954545
 0.05090909]",0.25132340751348325,0.2245135465305268,1
96,random-forest,"[  0.           0.5         11.65384615  20.80769231  28.96153846
  37.11538462  49.5         58.42307692  67.57692308  75.73076923
  85.88461538  94.03846154 102.19230769 112.19230769 140.        ]","[0.01227273 0.12954545 0.10181818 0.12227273 0.14363636 0.07772727
 0.03136364 0.04272727 0.03181818 0.06363636 0.06454545 0.05818182
 0.05545455 0.065     ]",0.25291009459210345,0.20122646918388643,1
97,equal-width,"[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100. 110. 120. 130.
 140.]","[0.12       0.10772727 0.155      0.15772727 0.04681818 0.03636364
 0.04590909 0.04090909 0.07545455 0.07136364 0.06090909 0.05590909
 0.01590909 0.01      ]",0.29940438485731924,0.14538134637487699,1
98,equal-width-data,"[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100. 110. 120. 130.
 140.]","[0.12       0.10772727 0.155      0.15772727 0.04681818 0.03636364
 0.04590909 0.04090909 0.07545455 0.07136364 0.06090909 0.05590909
 0.01590909 0.01      ]",0.29940438485731924,0.14538134637487699,1
99,equal-frequency,"[  0.   6.  12.  18.  23.  28.  32.  37.  44.  63.  80.  89.  99. 111.
 140.]","[0.06727273 0.07454545 0.06454545 0.07       0.07409091 0.06227273
 0.07909091 0.07863636 0.07090909 0.06909091 0.06545455 0.07090909
 0.07636364 0.07681818]",0.17975299580991733,0.2368325941702959,1
100,kbins,"[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100. 110. 120. 130.
 140.]","[0.12       0.10772727 0.155      0.15772727 0.04681818 0.03636364
 0.04590909 0.04090909 0.07545455 0.07136364 0.06090909 0.05590909
 0.01590909 0.01      ]",0.29940438485731924,0.14538134637487699,2
101,kbins-quantile,"[  0.   6.  12.  18.  23.  28.  32.  37.  44.  63.  80.  89.  99. 111.
 140.]","[0.06727273 0.07454545 0.06454545 0.07       0.07409091 0.06227273
 0.07909091 0.07863636 0.07090909 0.06909091 0.06545455 0.07090909
 0.07636364 0.07681818]",0.17975299580991733,0.2368325941702959,1
102,decision-tree,"[  0.   19.5  21.5  30.5  40.5  59.5  67.5  70.5  79.5  88.5  90.5  94.5
  99.5 120.5 140. ]","[0.22772727 0.02863636 0.13772727 0.16636364 0.06318182 0.03772727
 0.01318182 0.03590909 0.06545455 0.01863636 0.02681818 0.03590909
 0.12318182 0.01954545]",0.38852095943286846,0.1837175737774135,1
103,kmeans,"[  0.           3.11864407  10.77192982  20.28076923  28.58156028
  36.74482759  46.77922078  58.88392857  69.92929293  81.10714286
  89.90140845  98.83211679 108.04424779 117.14545455 140.        ]","[0.04272727 0.08727273 0.11363636 0.12227273 0.12590909 0.08681818
 0.04       0.05090909 0.05454545 0.06181818 0.06090909 0.06681818
 0.04909091 0.03727273]",0.21692172816889288,0.18302210518495854,1
104,random-forest,"[  0.           0.5         11.21428571  19.92857143  27.64285714
  35.35714286  43.07142857  54.78571429  62.5         70.21428571
  79.92857143  87.64285714  95.35714286 103.07142857 112.78571429
 140.        ]","[0.01227273 0.12954545 0.08590909 0.12272727 0.12545455 0.09454545
 0.03181818 0.03909091 0.03318182 0.03590909 0.05954545 0.06227273
 0.05136364 0.05136364 0.065     ]",0.21510457078591538,0.1823591292768313,1
105,equal-width,"[  0.           9.33333333  18.66666667  28.          37.33333333
  46.66666667  56.          65.33333333  74.66666667  84.
  93.33333333 102.66666667 112.         121.33333333 130.66666667
 140.        ]","[0.12       0.09727273 0.13318182 0.15909091 0.06909091 0.02590909
 0.04681818 0.03818182 0.05272727 0.07409091 0.06318182 0.05181818
 0.05090909 0.00818182 0.00954545]",0.252596096042065,0.118174552821801,1
106,equal-width-data,"[  0.      9.333  18.667  28.     37.333  46.667  56.     65.333  74.667
  84.     93.333 102.667 112.    121.333 130.667 140.   ]","[0.12       0.09727273 0.13318182 0.15909091 0.06909091 0.02590909
 0.04681818 0.03818182 0.05272727 0.07409091 0.06318182 0.05181818
 0.05090909 0.00818182 0.00954545]",0.252596096042065,0.11817418617311748,1
107,equal-frequency,"[  0.    5.   11.   17.   22.   27.   31.   35.   39.   54.   69.   82.6
  91.  100.8 112.  140. ]","[0.055      0.075      0.06545455 0.06090909 0.075      0.06272727
 0.06681818 0.06090909 0.07772727 0.06545455 0.06818182 0.06136364
 0.07181818 0.065      0.06863636]",0.14479896061275277,0.21769407475692093,1
